ID,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1770,Neon Trees,Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,77,2012,alt-rock,0.471,0.924,8,-3.906,1,0.0586,0.00301,0,0.313,0.725,154.961,177280,4
1771,Deftones,Rosemary,4FEr6dIdH6EqLKR0jB560J,71,2012,alt-rock,0.285,0.613,5,-6.412,1,0.0421,0.0185,0.1,0.114,0.0772,126.628,413347,4
1773,Thousand Foot Krutch,Courtesy Call,0AOmbw8AwDnwXhHC3OhdVB,71,2012,alt-rock,0.531,0.638,11,-5.145,0,0.0809,0.00409,0,0.0822,0.445,164.079,236898,4
1816,Vicentico,No Te Apartes de Mí,74KqkyHbpneHF6JT8EwUOO,70,2012,alt-rock,0.816,0.549,7,-8.649,1,0.0312,0.791,3.40E-05,0.117,0.886,111.032,198333,4
12104,Bruno Mars,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,85,2012,dance,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,233478,4
12105,MKTO,Classic,6FE2iI43OZnszFLuLtvvmg,79,2012,dance,0.72,0.791,1,-4.689,1,0.124,0.0384,0,0.157,0.756,102.071,175427,4
12106,Pitbull,Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,80,2012,dance,0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,204160,4
12107,Calvin Harris,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,78,2012,dance,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,4
12108,Carly Rae Jepsen,Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,71,2012,dance,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28E-06,0.108,0.66,120.021,193400,4
12109,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,80,2012,dance,0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146.078,258343,4
12110,Bruno Mars,Treasure,55h7vJchibLdUkxdlX3fK7,78,2012,dance,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24E-05,0.324,0.937,116.017,178560,4
12111,P!nk,Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,80,2012,dance,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,4
12112,Kesha,Die Young,7EQGXaVSyEDsCWKmUcfpLk,76,2012,dance,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,4
12113,Swedish House Mafia,Don't You Worry Child - Radio Edit,2V65y3PX4DkRhy1djlxd9p,80,2012,dance,0.612,0.84,11,-3.145,0,0.0509,0.112,0,0.116,0.438,129.042,212862,4
12116,Zedd,Clarity,60wwxj6Dd9NJlirf84wr2c,74,2012,dance,0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,271427,4
12117,MARINA,Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F,76,2012,dance,0.495,0.856,0,-5.123,0,0.0311,0.000219,0,0.103,0.609,158.024,154667,4
12119,Train,Drive By,0KAiuUOrLTIkzkpfpn9jb9,76,2012,dance,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06E-05,0.0801,0.721,122.028,195973,4
12120,Pitbull,Feel This Moment (feat. Christina Aguilera),0Hf4aIJpsN4Os2f0y0VqWl,76,2012,dance,0.673,0.758,7,-3.632,1,0.158,0.039,0,0.341,0.542,135.956,229507,4
12121,Flo Rida,Wild Ones (feat. Sia),1NpW5kyvO4XrNJ3rnfcNy3,76,2012,dance,0.608,0.86,5,-5.324,0,0.0554,0.0991,0,0.262,0.437,127.075,232947,4
12123,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),6CjtS2JZH9RkDz5UVInsa9,76,2012,dance,0.781,0.526,6,-6.986,0,0.293,0.0633,0,0.0457,0.665,94.993,235613,4
12124,Flo Rida,Good Feeling,2LEF1A8DOZ9wRYikWgVlZ8,75,2012,dance,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133,4
12125,Flo Rida,Whistle,3bC1ahPIYt1btJzSSEyyrF,76,2012,dance,0.747,0.937,0,-5.746,1,0.0453,0.0208,0,0.29,0.739,103.976,224653,4
12126,Olly Murs,Troublemaker (feat. Flo Rida),6s8nHXTJVqFjXE4yVZPDHR,73,2012,dance,0.762,0.863,0,-3.689,0,0.0561,0.015,0,0.125,0.965,106.012,185587,4
12127,P!nk,Try,1jF7IL57ayN4Ity3jQqGu0,76,2012,dance,0.674,0.628,2,-7.079,1,0.03,0.00144,0,0.0944,0.552,103.998,247907,4
12128,MARINA,Primadonna,4sOX1nhpKwFWPvoMMExi3q,71,2012,dance,0.66,0.689,4,-2.671,0,0.0337,0.0884,0,0.0922,0.427,127.98,221075,4
12131,Katy Perry,California Gurls,6tS3XVuOyu10897O3ae7bi,73,2012,dance,0.791,0.754,0,-3.729,1,0.0569,0.00446,0,0.163,0.425,125.014,234653,4
12132,Katy Perry,The One That Got Away,3oL3XRtkP1WVbMxf7dtTdu,72,2012,dance,0.687,0.792,1,-4.023,0,0.0353,0.000802,0,0.2,0.864,133.962,227333,4
12133,Crystal Castles,Transgender,26ZzSLUJMmYp5u1hDELEWH,73,2012,dance,0.522,0.914,7,-8.285,1,0.0379,0.000164,0.847,0.24,0.0364,137.939,184760,3
12134,Katy Perry,Last Friday Night (T.G.I.F.),455AfCsOhhLPRc68sE01D8,73,2012,dance,0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31E-05,0.671,0.765,126.03,230747,4
12136,Calvin Harris,Sweet Nothing (feat. Florence Welch),24LS4lQShWyixJ0ZrJXfJ5,71,2012,dance,0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,212560,4
12139,Crystal Castles,Kerosene,6E1YebXpPPtujMUljDNlOo,72,2012,dance,0.519,0.546,8,-9.368,1,0.0763,0.0827,0,0.133,0.0862,115.799,192000,4
12153,Ellie Goulding,Burn,5lF0pHbsJ0QqyIrLweHJPW,70,2012,dance,0.555,0.772,1,-5.007,1,0.0523,0.315,0,0.105,0.346,86.921,231213,4
18491,Mac DeMarco,My Kind of Woman,6jgkEbmQ2F2onEqsEhiliL,79,2012,edm,0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,190846,4
18492,Mac DeMarco,Freaking Out the Neighborhood,3HlK8txWAdtKMrbsqX40pl,74,2012,edm,0.565,0.832,8,-5.751,0,0.108,0.0638,0.0288,0.386,0.847,143.303,173889,4
19001,Wisin & Yandel,Algo Me Gusta De Ti,2FqoR7diymD1Eh7cVb3DMg,71,2012,electro,0.627,0.768,11,-5.296,0,0.0325,0.00291,0,0.0598,0.237,127.953,274947,4
20740,The Lumineers,Ho Hey,0W4Kpfp1w2xkY3PrV714B7,73,2012,folk,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06E-06,0.0915,0.353,79.936,163133,4
20741,Passenger,Let Her Go,1KxwZYyzWNyZSRyErj2ojT,74,2012,folk,0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.243,74.897,252733,4
20742,Of Monsters and Men,Little Talks,2ihCaVdNZmnHZWt0fvAM7B,78,2012,folk,0.457,0.757,1,-5.177,1,0.032,0.0206,0,0.146,0.417,102.961,266600,4
20746,Phillip Phillips,Home,1EAgPzRbK9YmdOESSMUm6P,70,2012,folk,0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56E-05,0.117,0.322,121.04,210173,4
20747,Phillip Phillips,"Gone, Gone, Gone",56sxN1yKg1dgOZXBcAHkJG,72,2012,folk,0.664,0.642,6,-5.961,1,0.038,0.129,0,0.114,0.501,118.002,209693,4
20757,Xavier Rudd,Follow The Sun,3Y7fpFZbHLpAvWJJYGehz0,70,2012,folk,0.611,0.394,0,-10.757,1,0.0416,0.534,4.68E-05,0.108,0.202,123.941,256267,4
32069,Kendrick Lamar,Money Trees,2HbKqm4o0w5wEeEFXm2sD4,79,2012,hip-hop,0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,386907,4
32070,Frank Ocean,Lost,3GZD6HmiNUhxXYf8Gch723,82,2012,hip-hop,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,234093,4
32071,Chief Keef,Love Sosa,01Lr5YepbgjXAWR9iOEyH1,80,2012,hip-hop,0.772,0.413,0,-8.193,0,0.089,0.0361,0,0.111,0.211,131.965,246213,4
32072,Frank Ocean,Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,76,2012,hip-hop,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4
32073,Kendrick Lamar,Swimming Pools (Drank),6REbwUNlppTfcnV4d4ZoZi,76,2012,hip-hop,0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,247800,4
32074,Meek Mill,Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U,73,2012,hip-hop,0.631,0.774,11,-2.459,1,0.3,0.468,0,0.281,0.44,79.745,230693,4
32075,Kendrick Lamar,Poetic Justice,2P3SLxeQHPqh8qKB6gtJY2,71,2012,hip-hop,0.779,0.572,6,-9.985,0,0.378,0.157,0,0.246,0.647,135.956,300160,4
32076,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",4Pwjz3DfvfQWV0rO2V8jyh,71,2012,hip-hop,0.587,0.698,1,-8.948,1,0.0943,0.0152,0,0.442,0.0985,133.954,310720,4
32077,Frank Ocean,Pyramids,4QhWbupniDd44EDtnh2bFJ,72,2012,hip-hop,0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62E-05,0.791,0.15,107.989,592920,4
32078,Frank Ocean,Super Rich Kids,0725YWm6Z0TpZ6wrNk64Eb,72,2012,hip-hop,0.739,0.419,3,-8.241,0,0.0854,0.219,0,0.196,0.58,60.493,304760,4
32080,Chief Keef,I Don't Like,1h6kgem1ai8vUgO1rZOwfB,71,2012,hip-hop,0.742,0.844,2,-4.622,1,0.0479,0.000634,0,0.0659,0.416,131.986,293840,4
32081,Chief Keef,Hate Bein' Sober,2oHM9KAdFdFvDCaE4V6RST,71,2012,hip-hop,0.82,0.47,8,-7.181,1,0.0458,0.00435,0,0.141,0.313,132.003,280173,4
32086,Kid Cudi,Pursuit Of Happiness - Extended Steve Aoki Remix,5PX4uS1LqlWEPL69phPVQQ,73,2012,hip-hop,0.722,0.687,0,-5.189,1,0.0556,0.00949,0.00413,0.0462,0.619,128.013,373627,4
32101,PSY,Gangnam Style (강남스타일),03UrZgTINDqvnUMbbIMhql,72,2012,hip-hop,0.727,0.937,11,-2.871,0,0.286,0.00417,0,0.091,0.749,132.067,219493,4
32111,Daddy Yankee,Limbo,3pDhN3qB33AOPhQEkUCaWt,74,2012,hip-hop,0.806,0.875,7,-3.817,1,0.088,0.0838,0.00192,0.065,0.917,125.063,224693,4
32119,Millonario & W. Corona,Éxtasis,3NqbKUOgaU2LgIFRbu4B12,73,2012,hip-hop,0.937,0.791,0,-5.242,1,0.087,0.0205,0.000234,0.0433,0.974,119.965,289013,4
32149,Canserbero,Maquiavélico,447r2keRxpkINmWYp83MlH,72,2012,hip-hop,0.554,0.868,11,-5.386,1,0.116,0.544,0,0.142,0.402,92.907,284709,4
32153,Canserbero,Es Épico,2kd0T6zgABT8P0s2h9QU5O,71,2012,hip-hop,0.665,0.816,0,-6.753,1,0.266,0.448,0,0.297,0.745,93.37,361979,4
32874,Pritam,Raabta,6FjbAnaPRPwiP3sciEYctO,73,2012,indian,0.657,0.581,0,-8.108,1,0.0298,0.699,1.82E-05,0.116,0.323,118.037,243578,4
33749,Alex G,Mary,5T0Ib1Hjhsua7qbGTczU7j,71,2012,indie-pop,0.693,0.467,4,-9.558,0,0.043,0.0497,0.452,0.107,0.402,105.958,197733,4
33750,Mitski,Liquid Smooth,3XCveEutwTaDiekRkkfdp9,72,2012,indie-pop,0.424,0.342,7,-9.469,0,0.0339,0.838,0,0.136,0.124,76.235,169773,4
33751,Owl City,Good Time,1kPpge9JDLpcj15qgrPbYX,76,2012,indie-pop,0.56,0.872,3,-4.269,1,0.14,0.0239,6.98E-06,0.371,0.682,126.05,205933,4
